Time	Open	High	Low	Close	Volume
2007-04-26 20:00:00	1.3593	1.3603	1.3589	1.36	43417
2007-04-27 00:00:00	1.36	1.3607	1.3592	1.3592	61569
2007-04-27 04:00:00	1.3592	1.3619	1.35865	1.3616	171415
2007-04-27 08:00:00	1.3616	1.3682	1.36155	1.3668	367709
2007-04-27 12:00:00	1.3668	1.3669	1.35995	1.3631	282534
2007-04-27 16:00:00	1.3631	1.3654	1.36305	1.3652	36613
2007-04-29 16:00:00	1.36305	1.36401	1.36261	1.3635	20159
2007-04-29 20:00:00	1.36312	1.3648	1.3615	1.36303	173968
2007-04-30 00:00:00	1.36306	1.36477	1.36302	1.36327	141853
2007-04-30 04:00:00	1.3631	1.3631	1.35884	1.36093	82232
2007-04-30 08:00:00	1.36095	1.36445	1.3602	1.3639	83393
2007-04-30 12:00:00	1.36387	1.36777	1.36294	1.36575	83721
2007-04-30 16:00:00	1.36576	1.36604	1.36386	1.36415	78506
2007-04-30 20:00:00	1.36407	1.36557	1.36347	1.36443	194319
2007-05-01 00:00:00	1.36442	1.36543	1.36391	1.3648	143743
2007-05-01 04:00:00	1.36479	1.36601	1.36249	1.36348	80027
2007-05-01 08:00:00	1.3635	1.36711	1.36328	1.36601	83692
2007-05-01 12:00:00	1.36567	1.36584	1.35897	1.35987	85328
2007-05-01 16:00:00	1.3599	1.3621	1.35988	1.36036	76641
2007-05-01 20:00:00	1.36042	1.36052	1.35896	1.35945	195051
2007-05-02 00:00:00	1.35942	1.35944	1.35598	1.35886	139324
2007-05-02 04:00:00	1.35887	1.35965	1.35677	1.357	81849
2007-05-02 08:00:00	1.35704	1.35978	1.35624	1.3593	80678
2007-05-02 12:00:00	1.35918	1.36097	1.3575	1.36005	84347
2007-05-02 16:00:00	1.36012	1.36015	1.35813	1.35823	78467
2007-05-02 20:00:00	1.3582	1.35958	1.35789	1.35924	193980
2007-05-03 00:00:00	1.35925	1.36056	1.35884	1.36025	141685
2007-05-03 04:00:00	1.36036	1.36188	1.36013	1.36101	83665
2007-05-03 08:00:00	1.36108	1.36193	1.35721	1.3575	81122
2007-05-03 12:00:00	1.3572	1.35723	1.35511	1.35617	84398
2007-05-03 16:00:00	1.3562	1.35628	1.35459	1.35495	80080
2007-05-03 20:00:00	1.35507	1.35562	1.35399	1.35447	193203
2007-05-04 00:00:00	1.35448	1.35583	1.35344	1.35583	141237
2007-05-04 04:00:00	1.35565	1.35752	1.35436	1.35583	86117
2007-05-04 08:00:00	1.35586	1.36088	1.3554	1.35918	83375
2007-05-04 12:00:00	1.3592	1.36025	1.35812	1.35987	83298
2007-05-04 16:00:00	1.35981	1.35992	1.3589	1.35893	59616
2007-05-06 16:00:00	1.36015	1.36023	1.35938	1.35947	19343
2007-05-06 20:00:00	1.35952	1.36089	1.35883	1.36075	191655
2007-05-07 00:00:00	1.36077	1.36106	1.35956	1.36067	142465
2007-05-07 04:00:00	1.36057	1.36122	1.35992	1.36108	82834
2007-05-07 08:00:00	1.36118	1.36255	1.3604	1.362	84945
2007-05-07 12:00:00	1.362	1.36211	1.3602	1.36067	84990
2007-05-07 16:00:00	1.36064	1.36111	1.35952	1.35965	79807
2007-05-07 20:00:00	1.35962	1.36047	1.35928	1.3603	200020
2007-05-08 00:00:00	1.36042	1.36195	1.36035	1.36155	143992
2007-05-08 04:00:00	1.36147	1.36202	1.35694	1.35731	82992
2007-05-08 08:00:00	1.35732	1.35732	1.35475	1.35545	84546
2007-05-08 12:00:00	1.35538	1.3557	1.35155	1.35366	85058
2007-05-08 16:00:00	1.35375	1.35462	1.35375	1.35426	79764
2007-05-08 20:00:00	1.35424	1.3547	1.35337	1.35395	196149
2007-05-09 00:00:00	1.35397	1.3548	1.3533	1.35455	139680
2007-05-09 04:00:00	1.3547	1.35516	1.35315	1.35371	81726
2007-05-09 08:00:00	1.35371	1.35641	1.35288	1.35537	82031
2007-05-09 12:00:00	1.3554	1.35585	1.3543	1.35497	80897
2007-05-09 16:00:00	1.355	1.3556	1.35187	1.35265	77850
2007-05-09 20:00:00	1.35262	1.3537	1.35201	1.35361	196146
2007-05-10 00:00:00	1.35362	1.35453	1.35246	1.35433	146271
2007-05-10 04:00:00	1.35446	1.35624	1.35194	1.35331	82310
2007-05-10 08:00:00	1.35335	1.35436	1.3496	1.35068	84123
2007-05-10 12:00:00	1.3507	1.35155	1.34656	1.34724	84722
2007-05-10 16:00:00	1.34725	1.34888	1.34715	1.34755	81294
2007-05-10 20:00:00	1.34747	1.3485	1.34628	1.34755	196157
2007-05-11 00:00:00	1.34755	1.34831	1.3474	1.3479	145718
2007-05-11 04:00:00	1.34779	1.3487	1.34649	1.34778	81620
2007-05-11 08:00:00	1.34785	1.35129	1.34763	1.3507	86331
2007-05-11 12:00:00	1.35072	1.35268	1.35057	1.35197	84974
2007-05-11 16:00:00	1.352	1.35305	1.35198	1.35222	59746
2007-05-13 16:00:00	1.35343	1.35371	1.35288	1.35288	18976
2007-05-13 20:00:00	1.35282	1.35433	1.35271	1.3539	194309
2007-05-14 00:00:00	1.3539	1.35492	1.35379	1.35437	141453
2007-05-14 04:00:00	1.35437	1.35464	1.35235	1.35367	83779
2007-05-14 08:00:00	1.35375	1.3557	1.35375	1.3549	83744
2007-05-14 12:00:00	1.3549	1.35493	1.35329	1.35426	84978
2007-05-14 16:00:00	1.35431	1.35463	1.35368	1.35403	76102
2007-05-14 20:00:00	1.35403	1.35472	1.35375	1.3546	196788
2007-05-15 00:00:00	1.35466	1.35483	1.35358	1.35375	140374
2007-05-15 04:00:00	1.35368	1.3559	1.35309	1.35338	85143
2007-05-15 08:00:00	1.35346	1.35631	1.35264	1.35451	84457
2007-05-15 12:00:00	1.35455	1.36071	1.35437	1.35926	83828
2007-05-15 16:00:00	1.35928	1.3596	1.35849	1.35904	78951
2007-05-15 20:00:00	1.35917	1.35939	1.35865	1.35878	192155
2007-05-16 00:00:00	1.35875	1.36057	1.35871	1.36055	144168
2007-05-16 04:00:00	1.36057	1.36081	1.359	1.3596	82629
2007-05-16 08:00:00	1.35963	1.36013	1.35656	1.3573	84144
2007-05-16 12:00:00	1.35729	1.35779	1.35035	1.35117	86500
2007-05-16 16:00:00	1.35118	1.35232	1.35104	1.35135	81520
2007-05-16 20:00:00	1.35138	1.35299	1.35135	1.35228	195701
2007-05-17 00:00:00	1.35229	1.35314	1.35202	1.35249	141016
2007-05-17 04:00:00	1.35244	1.35421	1.35214	1.35262	79986
2007-05-17 08:00:00	1.35264	1.35275	1.34776	1.34868	84046
2007-05-17 12:00:00	1.34866	1.35007	1.34773	1.34914	84701
2007-05-17 16:00:00	1.34928	1.34972	1.34889	1.34948	80404
2007-05-17 20:00:00	1.34945	1.34959	1.34865	1.34895	195711
2007-05-18 00:00:00	1.34894	1.3491	1.34796	1.3484	139597
2007-05-18 04:00:00	1.34836	1.35107	1.34814	1.3487	85312
2007-05-18 08:00:00	1.34873	1.34903	1.34648	1.34825	83613
2007-05-18 12:00:00	1.34827	1.35205	1.34726	1.35067	83649
2007-05-18 16:00:00	1.35065	1.35114	1.35032	1.35053	57418
2007-05-20 16:00:00	1.35123	1.35288	1.35123	1.35165	19213
2007-05-20 20:00:00	1.35158	1.35243	1.35105	1.35163	78843
2007-05-21 00:00:00	1.35163	1.352	1.35104	1.35131	76855
2007-05-21 04:00:00	1.35129	1.35154	1.34813	1.34861	82192
2007-05-21 08:00:00	1.3486	1.34865	1.34359	1.34432	82629
2007-05-21 12:00:00	1.34432	1.3467	1.34405	1.34638	82890
2007-05-21 16:00:00	1.34645	1.34714	1.34565	1.34606	142579
2007-05-21 20:00:00	1.34635	1.34694	1.34509	1.34542	193140
2007-05-22 00:00:00	1.34545	1.34672	1.34489	1.34658	78834
2007-05-22 04:00:00	1.3466	1.34744	1.34412	1.345	83874
2007-05-22 08:00:00	1.345	1.34573	1.34376	1.34512	82935
2007-05-22 12:00:00	1.34506	1.34696	1.34487	1.3452	84850
2007-05-22 16:00:00	1.34527	1.34548	1.34444	1.34485	137432
2007-05-22 20:00:00	1.34491	1.34547	1.34443	1.34472	196108
2007-05-23 00:00:00	1.34477	1.34605	1.34448	1.34589	77831
2007-05-23 04:00:00	1.34589	1.34608	1.34149	1.34367	84804
2007-05-23 08:00:00	1.34363	1.35004	1.34327	1.34835	81524
2007-05-23 12:00:00	1.34829	1.34893	1.34528	1.34538	86792
2007-05-23 16:00:00	1.34547	1.34619	1.34485	1.34555	142568
2007-05-23 20:00:00	1.3456	1.34586	1.34498	1.34557	193423
2007-05-24 00:00:00	1.34558	1.34562	1.34467	1.34554	78422
2007-05-24 04:00:00	1.34555	1.34602	1.34237	1.34358	86509
2007-05-24 08:00:00	1.34362	1.34574	1.34308	1.34471	84161
2007-05-24 12:00:00	1.34458	1.34458	1.34155	1.34444	84103
2007-05-24 16:00:00	1.34443	1.34451	1.3422	1.34304	142021
2007-05-24 20:00:00	1.34302	1.34316	1.34114	1.34243	194834
2007-05-25 00:00:00	1.34246	1.34253	1.34123	1.34228	77665
2007-05-25 04:00:00	1.34223	1.3438	1.34196	1.34285	85914
2007-05-25 08:00:00	1.34284	1.34555	1.34254	1.34465	81700
2007-05-25 12:00:00	1.34478	1.34714	1.34443	1.3453	81475
2007-05-25 16:00:00	1.34534	1.34538	1.34363	1.3438	57521
2007-05-27 16:00:00	1.34465	1.34481	1.34399	1.3444	82463
2007-05-27 20:00:00	1.3444	1.34518	1.34425	1.34497	192398
2007-05-28 00:00:00	1.34504	1.34579	1.34479	1.345	77158
2007-05-28 04:00:00	1.34502	1.34577	1.34481	1.34522	84308
2007-05-28 08:00:00	1.34525	1.34561	1.34485	1.34535	82020
2007-05-28 12:00:00	1.34529	1.34553	1.34479	1.34506	80307
2007-05-28 16:00:00	1.34509	1.34544	1.34438	1.34445	141669
2007-05-28 20:00:00	1.34467	1.34538	1.34278	1.34281	194285
2007-05-29 00:00:00	1.34281	1.34448	1.34192	1.3438	77324
2007-05-29 04:00:00	1.34377	1.3494	1.34343	1.34813	81351
2007-05-29 08:00:00	1.34818	1.35183	1.34809	1.3507	83245
2007-05-29 12:00:00	1.35039	1.35039	1.34405	1.34449	84856
2007-05-29 16:00:00	1.34462	1.3453	1.34409	1.34456	139299
2007-05-29 20:00:00	1.34465	1.34544	1.34361	1.34482	195111
2007-05-30 00:00:00	1.34487	1.34563	1.34378	1.3441	77082
2007-05-30 04:00:00	1.34401	1.34483	1.34221	1.34221	83977
2007-05-30 08:00:00	1.34208	1.34386	1.34079	1.34334	82932
2007-05-30 12:00:00	1.3433	1.34382	1.34118	1.34169	82133
2007-05-30 16:00:00	1.34168	1.34342	1.34144	1.34287	141991
2007-05-30 20:00:00	1.34283	1.34335	1.34226	1.34226	194404
2007-05-31 00:00:00	1.3423	1.34367	1.34219	1.34308	78035
2007-05-31 04:00:00	1.34309	1.3446	1.34309	1.34357	84133
2007-05-31 08:00:00	1.34365	1.3471	1.34321	1.34509	82338
2007-05-31 12:00:00	1.34493	1.34691	1.34364	1.34519	82231
2007-05-31 16:00:00	1.34525	1.3456	1.34474	1.34508	141677
2007-05-31 20:00:00	1.34507	1.34558	1.34484	1.3453	193090
2007-06-01 00:00:00	1.34533	1.34533	1.34444	1.34479	77298
2007-06-01 04:00:00	1.34482	1.34521	1.34327	1.34375	85656
2007-06-01 08:00:00	1.34373	1.34602	1.34171	1.34255	83338
2007-06-01 12:00:00	1.3424	1.34475	1.33915	1.34368	79642
2007-06-01 16:00:00	1.34378	1.34468	1.34339	1.34439	57801
2007-06-03 16:00:00	1.3441	1.34437	1.34359	1.34406	81092
2007-06-03 20:00:00	1.34406	1.34512	1.34353	1.34485	311392
2007-06-04 00:00:00	1.34485	1.3455	1.34405	1.34534	139805
2007-06-04 04:00:00	1.34532	1.34686	1.34317	1.34652	81132
2007-06-04 08:00:00	1.34657	1.34978	1.34573	1.34903	82456
2007-06-04 12:00:00	1.34893	1.34956	1.34727	1.34792	83761
2007-06-04 16:00:00	1.34793	1.34968	1.3479	1.34925	77082
2007-06-04 20:00:00	1.34922	1.34989	1.34868	1.34967	194021
2007-06-05 00:00:00	1.34965	1.35053	1.34908	1.34917	142095
2007-06-05 04:00:00	1.34912	1.35129	1.34885	1.35072	79819
2007-06-05 08:00:00	1.35077	1.35515	1.35051	1.35242	83106
2007-06-05 12:00:00	1.35182	1.35314	1.35075	1.35227	82926
2007-06-05 16:00:00	1.35227	1.35254	1.35152	1.35173	79477
2007-06-05 20:00:00	1.35175	1.35244	1.35089	1.35213	196271
2007-06-06 00:00:00	1.35215	1.3528	1.35168	1.35275	142614
2007-06-06 04:00:00	1.35265	1.35371	1.35099	1.35192	81766
2007-06-06 08:00:00	1.35196	1.35282	1.34947	1.35039	82401
2007-06-06 12:00:00	1.35047	1.35107	1.34844	1.35005	82775
2007-06-06 16:00:00	1.3501	1.35055	1.34955	1.34967	79092
2007-06-06 20:00:00	1.3496	1.35023	1.3491	1.34975	190909
2007-06-07 00:00:00	1.34969	1.35079	1.34943	1.35071	138209
2007-06-07 04:00:00	1.35072	1.35113	1.34872	1.34872	84719
2007-06-07 08:00:00	1.34874	1.3493	1.34611	1.34742	83188
2007-06-07 12:00:00	1.34741	1.3475	1.34209	1.34231	83329
2007-06-07 16:00:00	1.34236	1.34346	1.34225	1.34233	77060
2007-06-07 20:00:00	1.34245	1.34275	1.34179	1.34205	194496
2007-06-08 00:00:00	1.34203	1.34269	1.34178	1.34269	138614
2007-06-08 04:00:00	1.34267	1.34268	1.33521	1.3354	83203
2007-06-08 08:00:00	1.33541	1.33681	1.33225	1.33553	81075
2007-06-08 12:00:00	1.33543	1.33639	1.33449	1.33527	83684
2007-06-08 16:00:00	1.33532	1.3374	1.33522	1.33708	58093
2007-06-10 16:00:00	1.33671	1.33711	1.33589	1.33603	19332
2007-06-10 20:00:00	1.336	1.33635	1.33423	1.33531	76366
2007-06-11 00:00:00	1.33533	1.33577	1.33425	1.33533	75714
2007-06-11 04:00:00	1.33532	1.33584	1.33325	1.33448	81227
2007-06-11 08:00:00	1.3345	1.33592	1.33381	1.3342	79525
2007-06-11 12:00:00	1.33408	1.33603	1.33356	1.33543	82509
2007-06-11 16:00:00	1.33551	1.33606	1.33493	1.3355	141044
2007-06-11 20:00:00	1.33565	1.33617	1.33467	1.33582	192046
2007-06-12 00:00:00	1.33566	1.33659	1.33559	1.3362	74650
2007-06-12 04:00:00	1.33608	1.33683	1.33392	1.33463	81307
2007-06-12 08:00:00	1.33463	1.3348	1.33174	1.3318	79405
