Time	Open	High	Low	Close	Volume
2007-04-26 00:00:00	1.9912	1.992	1.9892	1.9908	25116
2007-04-27 00:00:00	1.9908	2.0043	1.9864	1.9976	494794
2007-04-29 00:00:00	1.99578	1.9969	1.99225	1.99435	23591
2007-04-30 00:00:00	1.9943	2.0031	1.989	2.0006	536406
2007-05-01 00:00:00	2.0006	2.00745	1.9962	1.9976	601264
2007-05-02 00:00:00	1.9976	1.9976	1.9869	1.99	920697
2007-05-03 00:00:00	1.99	1.9946	1.9849	1.9864	806918
2007-05-04 00:00:00	1.9863	1.9943	1.98425	1.9918	638449
2007-05-06 00:00:00	1.9941	1.9966	1.99255	1.99545	34682
2007-05-07 00:00:00	1.9958	1.99745	1.99212	1.99445	437175
2007-05-08 00:00:00	1.9945	1.9963	1.98795	1.98955	1203491
2007-05-09 00:00:00	1.98929	1.99985	1.98825	1.9942	1113326
2007-05-10 00:00:00	1.9942	1.9962	1.97695	1.9806	1652690
2007-05-11 00:00:00	1.9806	1.9844	1.97615	1.9814	1224355
2007-05-13 00:00:00	1.9824	1.9839	1.98114	1.9833	55886
2007-05-14 00:00:00	1.9833	1.9844	1.978	1.97955	1073493
2007-05-15 00:00:00	1.97955	1.9872	1.9747	1.9846	1493509
2007-05-16 00:00:00	1.9846	1.9874	1.97565	1.9776	1434706
2007-05-17 00:00:00	1.9776	1.97905	1.9733	1.97384	1036334
2007-05-18 00:00:00	1.9741	1.9778	1.97	1.9745	1052792
2007-05-20 00:00:00	1.9749	1.9754	1.97353	1.9741	45456
2007-05-21 00:00:00	1.9741	1.9748	1.96755	1.971	1078250
2007-05-22 00:00:00	1.971	1.9769	1.9699	1.9741	1072765
2007-05-23 00:00:00	1.9741	1.9895	1.9715	1.9862	1333702
2007-05-24 00:00:00	1.9862	1.9889	1.9829	1.9843	1083816
2007-05-25 00:00:00	1.9843	1.9879	1.9835	1.9836	894352
2007-05-27 00:00:00	1.9839	1.9848	1.98289	1.9844	29705
2007-05-28 00:00:00	1.98431	1.98495	1.98175	1.9822	381408
2007-05-29 00:00:00	1.9822	1.9899	1.97905	1.981	1235183
2007-05-30 00:00:00	1.981	1.9831	1.9734	1.97485	1231588
2007-05-31 00:00:00	1.9749	1.98185	1.97365	1.9797	974900
2007-06-01 00:00:00	1.9798	1.9826	1.9758	1.9822	882065
2007-06-03 00:00:00	1.98166	1.9833	1.9811	1.9818	55416
2007-06-04 00:00:00	1.9818	1.9927	1.9816	1.99165	1277014
2007-06-05 00:00:00	1.99165	1.9968	1.99116	1.9941	1089358
