Time	Open	High	Low	Close	Volume
2007-04-23 00:00:00	2.24992	2.25145	2.24772	2.2481	1043
2007-04-23 04:00:00	2.24827	2.24896	2.24355	2.24599	2002
2007-04-23 08:00:00	2.24614	2.24838	2.24348	2.24762	1776
2007-04-23 12:00:00	2.24751	2.24774	2.24218	2.24649	1804
2007-04-23 16:00:00	2.2465	2.24755	2.2419	2.24337	1866
2007-04-23 20:00:00	2.24327	2.24676	2.24215	2.24504	1979
2007-04-24 00:00:00	2.24489	2.24496	2.24207	2.24231	1866
2007-04-24 04:00:00	2.24237	2.24237	2.23693	2.23877	1773
2007-04-24 08:00:00	2.23879	2.24775	2.23699	2.24646	1784
2007-04-24 12:00:00	2.24647	2.24917	2.24385	2.24418	2024
2007-04-24 16:00:00	2.24416	2.24684	2.24243	2.24457	1938
2007-04-24 20:00:00	2.24471	2.24648	2.2436	2.24514	2082
2007-04-25 00:00:00	2.24492	2.24586	2.24222	2.24507	1866
2007-04-25 04:00:00	2.24514	2.24956	2.24446	2.24828	2026
2007-04-25 08:00:00	2.24843	2.24966	2.23946	2.23982	1779
2007-04-25 12:00:00	2.23984	2.24071	2.23057	2.23232	1783
2007-04-25 16:00:00	2.23229	2.23286	2.22846	2.2318	1858
2007-04-25 20:00:00	2.23178	2.23346	2.23014	2.23332	1943
2007-04-26 00:00:00	2.23329	2.23651	2.23246	2.23596	1844
2007-04-26 04:00:00	2.23608	2.2385	2.232	2.23468	1781
2007-04-26 08:00:00	2.23464	2.23464	2.22536	2.22836	1741
2007-04-26 12:00:00	2.22822	2.23307	2.22539	2.2293	2037
2007-04-26 16:00:00	2.22915	2.23385	2.22774	2.23251	1908
2007-04-26 20:00:00	2.23256	2.23446	2.23053	2.23372	1937
2007-04-27 00:00:00	2.23373	2.23482	2.23082	2.23203	2056
2007-04-27 04:00:00	2.23205	2.23214	2.2266	2.22904	1730
2007-04-27 08:00:00	2.22916	2.23534	2.22812	2.23196	1817
2007-04-27 12:00:00	2.2319	2.23541	2.22743	2.2283	1826
2007-04-27 16:00:00	2.22821	2.22997	2.22553	2.22909	1499
2007-04-29 16:00:00	2.2292	2.22939	2.22434	2.22675	449
2007-04-29 20:00:00	2.22667	2.22764	2.22323	2.22488	1860
2007-04-30 00:00:00	2.2248	2.22827	2.22467	2.22792	1940
2007-04-30 04:00:00	2.22793	2.23242	2.22044	2.22292	1829
2007-04-30 08:00:00	2.22298	2.22629	2.21333	2.21461	1835
2007-04-30 12:00:00	2.2147	2.21705	2.20952	2.21616	1742
2007-04-30 16:00:00	2.21627	2.21946	2.21559	2.21843	2044
2007-04-30 20:00:00	2.21835	2.22068	2.21729	2.21954	1675
2007-05-01 00:00:00	2.21963	2.2199	2.21517	2.21739	2060
2007-05-01 04:00:00	2.21747	2.22304	2.21555	2.21863	1749
2007-05-01 08:00:00	2.21873	2.22423	2.21762	2.21815	1835
2007-05-01 12:00:00	2.21809	2.22114	2.21277	2.21963	1837
2007-05-01 16:00:00	2.21963	2.22136	2.21817	2.22027	1900
2007-05-01 20:00:00	2.22012	2.22315	2.21878	2.22213	1822
2007-05-02 00:00:00	2.22219	2.22223	2.21724	2.21934	1953
2007-05-02 04:00:00	2.21925	2.22098	2.21457	2.21718	1790
2007-05-02 08:00:00	2.21719	2.21811	2.20452	2.20494	1804
2007-05-02 12:00:00	2.20494	2.20772	2.20207	2.20558	1728
2007-05-02 16:00:00	2.20552	2.20715	2.20046	2.20193	2021
2007-05-02 20:00:00	2.20209	2.20663	2.20183	2.20495	1736
2007-05-03 00:00:00	2.20475	2.20619	2.20201	2.20574	1971
2007-05-03 04:00:00	2.20592	2.20998	2.20366	2.20663	1703
2007-05-03 08:00:00	2.20661	2.20903	2.20118	2.20207	1840
2007-05-03 12:00:00	2.20195	2.20405	2.19608	2.20043	1816
2007-05-03 16:00:00	2.20037	2.20191	2.19761	2.20058	1993
2007-05-03 20:00:00	2.20063	2.20175	2.19826	2.20073	1869
2007-05-04 00:00:00	2.20067	2.20176	2.19937	2.20069	1780
2007-05-04 04:00:00	2.20077	2.20124	2.19368	2.19598	1829
