Time	Open	High	Low	Close	Volume
2007-04-26 12:00:00	1.12045	1.1207	1.11945	1.11985	7755
2007-04-26 16:00:00	1.1198	1.1223	1.11914	1.12152	17244
2007-04-26 20:00:00	1.12166	1.1227	1.12084	1.12206	12449
2007-04-27 00:00:00	1.12209	1.1223	1.12047	1.1217	11586
2007-04-27 04:00:00	1.1217	1.1227	1.11785	1.1182	21359
2007-04-27 08:00:00	1.1181	1.1181	1.11285	1.114	79910
2007-04-27 12:00:00	1.114	1.1181	1.1139	1.11645	79319
2007-04-27 16:00:00	1.11645	1.1166	1.11489	1.1162	16380
2007-04-29 16:00:00	1.11525	1.11605	1.11477	1.11537	3009
2007-04-29 20:00:00	1.11557	1.1168	1.11504	1.1157	7889
2007-04-30 00:00:00	1.1157	1.1171	1.11492	1.11672	20146
2007-04-30 04:00:00	1.11701	1.11965	1.11485	1.11575	26665
2007-04-30 08:00:00	1.11575	1.1166	1.10925	1.1097	44921
2007-04-30 12:00:00	1.1097	1.1105	1.1048	1.1082	128190
2007-04-30 16:00:00	1.1082	1.1103	1.10803	1.1096	73510
2007-04-30 20:00:00	1.1096	1.11085	1.1088	1.10941	13451
2007-05-01 00:00:00	1.10965	1.1103	1.10756	1.1085	24758
2007-05-01 04:00:00	1.1085	1.1106	1.1076	1.1088	46712
2007-05-01 08:00:00	1.1088	1.11	1.10475	1.106	66212
2007-05-01 12:00:00	1.106	1.11155	1.10565	1.1106	132354
2007-05-01 16:00:00	1.1106	1.1113	1.10986	1.11099	48502
2007-05-01 20:00:00	1.11087	1.1132	1.11052	1.1126	14728
2007-05-02 00:00:00	1.11246	1.1137	1.11183	1.1122	21735
2007-05-02 04:00:00	1.1122	1.1136	1.11049	1.11305	44442
2007-05-02 08:00:00	1.1131	1.1142	1.1074	1.1083	185889
2007-05-02 12:00:00	1.1082	1.1095	1.1064	1.1081	214848
2007-05-02 16:00:00	1.1081	1.1095	1.1062	1.1075	79446
2007-05-02 20:00:00	1.1075	1.10895	1.10717	1.10815	23107
2007-05-03 00:00:00	1.10797	1.1085	1.10685	1.1081	28519
2007-05-03 04:00:00	1.1081	1.10895	1.10629	1.10745	58463
2007-05-03 08:00:00	1.10745	1.1085	1.1062	1.1075	84343
2007-05-03 12:00:00	1.1075	1.1085	1.1053	1.1071	103212
2007-05-03 16:00:00	1.107	1.1078	1.106	1.1076	58426
2007-05-03 20:00:00	1.1076	1.1081	1.10688	1.10795	12600
2007-05-04 00:00:00	1.10762	1.10835	1.10669	1.1075	32616
2007-05-04 04:00:00	1.1075	1.1078	1.10519	1.1058	39124
2007-05-04 08:00:00	1.1058	1.1063	1.10315	1.1048	92761
2007-05-04 12:00:00	1.10475	1.1077	1.1037	1.1064	68160
2007-05-04 16:00:00	1.1064	1.1076	1.106	1.1076	22739
2007-05-06 16:00:00	1.1066	1.1073	1.106	1.10683	2865
2007-05-06 20:00:00	1.1068	1.10735	1.1059	1.1062	15852
2007-05-07 00:00:00	1.1062	1.10655	1.10466	1.1053	31092
2007-05-07 04:00:00	1.1053	1.10595	1.10432	1.1055	33180
2007-05-07 08:00:00	1.1055	1.10617	1.10055	1.1007	54367
2007-05-07 12:00:00	1.1007	1.1037	1.1007	1.102	70228
2007-05-07 16:00:00	1.10205	1.1023	1.10111	1.10189	31107
2007-05-07 20:00:00	1.102	1.1027	1.1014	1.1018	20757
2007-05-08 00:00:00	1.1018	1.102	1.10056	1.1011	20829
2007-05-08 04:00:00	1.1011	1.10235	1.1003	1.1011	51657
2007-05-08 08:00:00	1.1011	1.1054	1.10092	1.1042	77894
2007-05-08 12:00:00	1.1042	1.106	1.1034	1.1041	79442
2007-05-08 16:00:00	1.1041	1.1067	1.10376	1.1064	44112
2007-05-08 20:00:00	1.1064	1.1067	1.1046	1.10606	25057
2007-05-09 00:00:00	1.1064	1.10675	1.1056	1.1066	28342
2007-05-09 04:00:00	1.1066	1.1093	1.10533	1.108	87798
2007-05-09 08:00:00	1.10815	1.1087	1.10425	1.10555	109728
2007-05-09 12:00:00	1.10555	1.1068	1.1049	1.1055	133408
2007-05-09 16:00:00	1.1055	1.1065	1.10395	1.1059	66842
2007-05-09 20:00:00	1.1059	1.1067	1.10489	1.1059	26684
2007-05-10 00:00:00	1.1059	1.1065	1.10484	1.10625	28904
2007-05-10 04:00:00	1.10625	1.109	1.10495	1.10825	75766
2007-05-10 08:00:00	1.10825	1.1088	1.10515	1.108	209326
2007-05-10 12:00:00	1.108	1.113	1.10655	1.1116	205105
2007-05-10 16:00:00	1.1116	1.1119	1.11025	1.1118	81837
2007-05-10 20:00:00	1.1119	1.112	1.11045	1.11155	27569
2007-05-11 00:00:00	1.11155	1.11155	1.109	1.1097	30409
2007-05-11 04:00:00	1.1097	1.1135	1.10877	1.1135	52053
2007-05-11 08:00:00	1.1135	1.1168	1.1114	1.1153	151296
2007-05-11 12:00:00	1.1152	1.11565	1.11205	1.1133	77604
2007-05-11 16:00:00	1.1133	1.11345	1.11	1.1103	52617
2007-05-13 16:00:00	1.1103	1.1109	1.10985	1.1107	2800
2007-05-13 20:00:00	1.1107	1.11175	1.1102	1.11109	26546
2007-05-14 00:00:00	1.1113	1.1113	1.1083	1.111	35549
2007-05-14 04:00:00	1.111	1.1125	1.10915	1.1099	59988
2007-05-14 08:00:00	1.1099	1.11	1.10645	1.1071	129487
2007-05-14 12:00:00	1.10715	1.10835	1.10595	1.10645	111982
2007-05-14 16:00:00	1.10645	1.10735	1.1052	1.1059	58755
2007-05-14 20:00:00	1.1059	1.10685	1.1054	1.10545	31290
2007-05-15 00:00:00	1.1055	1.106	1.10471	1.1053	33893
2007-05-15 04:00:00	1.10535	1.10715	1.1013	1.103	77033
2007-05-15 08:00:00	1.1029	1.10385	1.09875	1.0989	134398
2007-05-15 12:00:00	1.0989	1.0993	1.09635	1.09845	116407
2007-05-15 16:00:00	1.09845	1.099	1.09775	1.0981	52018
2007-05-15 20:00:00	1.0981	1.0995	1.0978	1.09865	28011
2007-05-16 00:00:00	1.09822	1.0988	1.0968	1.0976	47178
2007-05-16 04:00:00	1.09765	1.09995	1.09748	1.099	60258
2007-05-16 08:00:00	1.099	1.1008	1.0984	1.1003	104767
2007-05-16 12:00:00	1.1003	1.1063	1.1	1.10454	196103
2007-05-16 16:00:00	1.1048	1.1048	1.10255	1.1037	93101
2007-05-16 20:00:00	1.1037	1.104	1.10236	1.10304	20254
2007-05-17 00:00:00	1.10292	1.104	1.10268	1.1039	25931
2007-05-17 04:00:00	1.1039	1.1055	1.1023	1.1024	69416
2007-05-17 08:00:00	1.1024	1.1038	1.09895	1.1003	121339
2007-05-17 12:00:00	1.1002	1.1017	1.09669	1.0984	112799
2007-05-17 16:00:00	1.0984	1.1	1.09758	1.0992	55553
2007-05-17 20:00:00	1.0994	1.1	1.09839	1.099	30767
2007-05-18 00:00:00	1.099	1.1	1.09838	1.0987	37027
2007-05-18 04:00:00	1.0987	1.0991	1.09305	1.0944	119074
2007-05-18 08:00:00	1.09445	1.0964	1.09095	1.0924	156812
2007-05-18 12:00:00	1.0925	1.0929	1.0876	1.0889	252356
2007-05-18 16:00:00	1.0889	1.0905	1.0883	1.0885	63627
2007-05-20 16:00:00	1.08944	1.09	1.089	1.0892	2530
2007-05-20 20:00:00	1.0892	1.08985	1.08827	1.0896	20530
2007-05-21 00:00:00	1.0896	1.0896	1.08832	1.08854	34246
2007-05-21 04:00:00	1.08879	1.089	1.0835	1.0841	80993
2007-05-21 08:00:00	1.08415	1.0875	1.0825	1.0852	110004
2007-05-21 12:00:00	1.0852	1.0863	1.08315	1.08435	110556
2007-05-21 16:00:00	1.08435	1.08535	1.0837	1.0844	28988
2007-05-21 20:00:00	1.08418	1.0858	1.08396	1.08545	35109
2007-05-22 00:00:00	1.08545	1.08605	1.08385	1.08405	39586
2007-05-22 04:00:00	1.08405	1.08625	1.08285	1.0845	91285
2007-05-22 08:00:00	1.0845	1.0862	1.0833	1.0861	94536
2007-05-22 12:00:00	1.0861	1.08685	1.0846	1.08625	99757
2007-05-22 16:00:00	1.08607	1.0877	1.0851	1.0864	57019
2007-05-22 20:00:00	1.0866	1.0879	1.08602	1.08615	21687
2007-05-23 00:00:00	1.0863	1.08765	1.08611	1.08675	31833
2007-05-23 04:00:00	1.0868	1.0889	1.08595	1.0868	63017
2007-05-23 08:00:00	1.0869	1.0869	1.08165	1.0827	166275
2007-05-23 12:00:00	1.08275	1.0832	1.08125	1.0831	179106
2007-05-23 16:00:00	1.0831	1.0837	1.0817	1.0832	90769
2007-05-23 20:00:00	1.0831	1.0838	1.08232	1.0833	28049
2007-05-24 00:00:00	1.0835	1.0836	1.08263	1.0833	37552
2007-05-24 04:00:00	1.08311	1.08485	1.0821	1.0833	67170
2007-05-24 08:00:00	1.0833	1.0833	1.0805	1.0812	112990
2007-05-24 12:00:00	1.0812	1.0848	1.0809	1.08375	162058
2007-05-24 16:00:00	1.0838	1.0853	1.0834	1.0842	53086
2007-05-24 20:00:00	1.0842	1.0852	1.08358	1.0846	24370
2007-05-25 00:00:00	1.08455	1.08518	1.08285	1.0835	30060
2007-05-25 04:00:00	1.0835	1.0862	1.08285	1.08605	61577
2007-05-25 08:00:00	1.08605	1.087	1.0801	1.0807	165764
2007-05-25 12:00:00	1.0807	1.081	1.0775	1.07937	211742
2007-05-25 16:00:00	1.07965	1.0805	1.07834	1.0801	25225
2007-05-27 16:00:00	1.0791	1.0801	1.07878	1.07975	6168
2007-05-27 20:00:00	1.0798	1.0805	1.07856	1.0799	21795
2007-05-28 00:00:00	1.0799	1.0808	1.07883	1.07955	30509
2007-05-28 04:00:00	1.07955	1.0812	1.07907	1.0809	69942
2007-05-28 08:00:00	1.081	1.0812	1.0793	1.07989	76436
2007-05-28 12:00:00	1.08005	1.08055	1.07924	1.07957	27984
2007-05-28 16:00:00	1.0799	1.0805	1.07916	1.07942	30052
2007-05-28 20:00:00	1.07963	1.0811	1.07924	1.0806	25207
2007-05-29 00:00:00	1.0804	1.0827	1.08001	1.0826	47124
2007-05-29 04:00:00	1.08226	1.08265	1.07997	1.0815	67026
2007-05-29 08:00:00	1.0815	1.0835	1.0712	1.0719	186451
2007-05-29 12:00:00	1.07185	1.0736	1.07105	1.0735	198940
2007-05-29 16:00:00	1.0735	1.0741	1.07234	1.0732	49335
2007-05-29 20:00:00	1.0734	1.0743	1.07288	1.07405	21703
2007-05-30 00:00:00	1.07405	1.0741	1.0723	1.07345	30082
2007-05-30 04:00:00	1.07345	1.0738	1.06865	1.0702	98213
2007-05-30 08:00:00	1.0702	1.07505	1.0693	1.0747	199527
2007-05-30 12:00:00	1.0747	1.07585	1.07399	1.0743	182847
2007-05-30 16:00:00	1.0743	1.0744	1.07307	1.0741	77188
2007-05-30 20:00:00	1.0741	1.0746	1.07285	1.0737	26694
2007-05-31 00:00:00	1.0737	1.0741	1.07225	1.07255	27811
2007-05-31 04:00:00	1.0726	1.0738	1.0703	1.07045	77255
2007-05-31 08:00:00	1.07045	1.0714	1.06655	1.0685	192700
2007-05-31 12:00:00	1.0685	1.07095	1.06825	1.0699	129611
2007-05-31 16:00:00	1.0699	1.0705	1.06839	1.0697	57130
2007-05-31 20:00:00	1.0697	1.071	1.06855	1.0705	32648
2007-06-01 00:00:00	1.07019	1.07055	1.06886	1.06915	31851
2007-06-01 04:00:00	1.06915	1.07075	1.06797	1.0686	61151
2007-06-01 08:00:00	1.0685	1.0693	1.06525	1.0665	128557
2007-06-01 12:00:00	1.0665	1.06725	1.0598	1.0621	207747
2007-06-01 16:00:00	1.0621	1.0621	1.0605	1.0607	25927
2007-06-03 16:00:00	1.06084	1.0612	1.0604	1.06115	7743
2007-06-03 20:00:00	1.06109	1.062	1.06032	1.0611	36213
2007-06-04 00:00:00	1.06105	1.0617	1.05984	1.0601	41297
2007-06-04 04:00:00	1.0601	1.0602	1.0548	1.0559	146965
2007-06-04 08:00:00	1.0559	1.05875	1.05575	1.0575	109628
2007-06-04 12:00:00	1.0575	1.0589	1.0566	1.05845	120804
2007-06-04 16:00:00	1.05845	1.059	1.057	1.0574	44321
2007-06-04 20:00:00	1.0574	1.05895	1.05722	1.05805	17705
2007-06-05 00:00:00	1.0579	1.0589	1.05733	1.0581	34411
2007-06-05 04:00:00	1.0581	1.0597	1.05665	1.0584	73561
2007-06-05 08:00:00	1.0584	1.06	1.0562	1.0595	182817
